99.86	25.96	2.041
99.94	25.96	2.433
99.98	25.96	1.786
99.86	26	3.469
99.9	26	3.913
99.94	26	1.828
99.98	26	1.837
100.02	26	2.659
99.86	26.04	2.301
99.9	26.04	1.762
99.94	26.04	2.229
99.98	26.04	2.255
100.02	26.04	2.396
100.06	26.04	1.881
99.86	26.08	2.188
99.9	26.08	3.193
99.94	26.08	2.513
99.98	26.08	2.835
100.02	26.08	2.527
100.06	26.08	1.856
100.1	26.08	2.287
99.86	26.12	2.461
99.9	26.12	2.003
99.94	26.12	2.493
99.98	26.12	2.672
100.02	26.12	2.569
100.06	26.12	1.806
100.1	26.12	2.412
100.14	26.12	2.263
99.86	26.16	1.351
99.9	26.16	1.867
99.94	26.16	2.437
99.98	26.16	2.355
100.02	26.16	1.982
100.06	26.16	2.824
100.1	26.16	1.794
100.14	26.16	2.177
99.86	26.2	2.969
99.9	26.2	2.733
99.94	26.2	2.696
99.98	26.2	2.113
100.02	26.2	1.796
100.06	26.2	3.248
100.1	26.2	2.372
100.14	26.2	3.503
99.9	26.24	3.994
99.94	26.24	2.523
99.98	26.24	2.091
100.02	26.24	1.962
100.06	26.24	2.559
100.1	26.24	2.654
100.14	26.24	1.734
99.98	26.28	1.518
100.02	26.28	2.293
100.06	26.28	2.538
100.1	26.28	2.29
100.02	26.32	2.996
100.06	26.32	2.876
100.1	26.32	2.407
100.06	26.36	3.342
